counter,name,function_name,real_parameter,typical_parameter,returns_value,file_name,start_row,start_column,end_row,end_column,
1,-,UNNAMED,1,1,false,./src/init/resources/backbone-master/backbone-min.js,1,0,1,24968,
2,-,UNNAMED,1,1,false,./src/init/resources/backbone-master/backbone.js,8,0,2096,3,
3,-,UNNAMED,2,2,false,./src/init/resources/backbone-master/docs/js/jquery.lazyload.js,15,0,210,19,
4,-,UNNAMED,0,0,false,./src/init/resources/backbone-master/docs/search.js,1,0,58,5,
5,-,UNNAMED,2,2,false,./src/init/resources/backbone-master/examples/backbone.localStorage.js,7,0,184,4,
6,-,UNNAMED,1,0,false,./src/init/resources/backbone-master/examples/todos/todos.js,7,0,234,3,
7,-,UNNAMED,1,1,false,./src/init/resources/backbone-master/test/collection.js,1,0,2103,10,
8,-,UNNAMED,1,1,false,./src/init/resources/backbone-master/test/events.js,1,0,743,10,
9,-,UNNAMED,1,1,false,./src/init/resources/backbone-master/test/model.js,1,0,1470,10,
10,-,UNNAMED,1,1,false,./src/init/resources/backbone-master/test/noconflict.js,1,0,13,10,
11,-,UNNAMED,1,1,false,./src/init/resources/backbone-master/test/router.js,1,0,1081,10,
12,-,UNNAMED,1,1,false,./src/init/resources/backbone-master/test/setup/environment.js,1,0,45,10,
13,-,UNNAMED,1,1,false,./src/init/resources/backbone-master/test/sync.js,1,0,239,10,
14,-,UNNAMED,1,2,false,./src/init/resources/backbone-master/test/vendor/jquery.js,14,0,9472,13,
15,doScrollCheck,NAMED,0,0,false,./src/init/resources/backbone-master/test/vendor/jquery.js,879,16,893,21,
16,add,NAMED,1,1,false,./src/init/resources/backbone-master/test/vendor/jquery.js,999,20,1011,36,
17,-,UNNAMED,1,2,false,./src/init/resources/backbone-master/test/vendor/jquery.js,3669,0,5353,13,
18,-,UNNAMED,0,0,false,./src/init/resources/backbone-master/test/vendor/jquery.js,5178,4,5331,9,
19,-,UNNAMED,0,0,false,./src/init/resources/backbone-master/test/vendor/jquery.js,6476,0,6537,5,
20,-,UNNAMED,1,1,false,./src/init/resources/backbone-master/test/vendor/jquery.js,8372,0,8377,32,
21,-,UNNAMED,0,0,true,./src/init/resources/backbone-master/test/vendor/jquery.js,1243,0,1508,5,
22,-,UNNAMED,0,0,false,./src/init/resources/backbone-master/test/vendor/json2.js,166,0,481,5,
23,-,UNNAMED,1,1,false,./src/init/resources/backbone-master/test/vendor/qunit.js,12,0,3287,8,
24,-,UNNAMED,0,0,false,./src/init/resources/backbone-master/test/vendor/qunit.js,406,0,442,6,
25,-,UNNAMED,0,0,false,./src/init/resources/backbone-master/test/vendor/qunit.js,1569,0,1572,5,
26,-,UNNAMED,0,0,false,./src/init/resources/backbone-master/test/vendor/qunit.js,2105,4,2119,9,
27,-,UNNAMED,0,0,false,./src/init/resources/backbone-master/test/vendor/qunit.js,2121,4,2147,9,
28,-,UNNAMED,0,0,false,./src/init/resources/backbone-master/test/vendor/qunit.js,3289,0,4125,5,
29,-,UNNAMED,1,1,true,./src/init/resources/backbone-master/test/vendor/qunit.js,4111,4,4113,26,
30,-,UNNAMED,0,0,true,./src/init/resources/backbone-master/test/vendor/qunit.js,1596,0,1834,5,
31,-,UNNAMED,0,0,true,./src/init/resources/backbone-master/test/vendor/qunit.js,1838,0,2095,5,
32,-,UNNAMED,0,0,true,./src/init/resources/backbone-master/test/vendor/qunit.js,2200,0,3282,6,
33,-,UNNAMED,1,1,false,./src/init/resources/backbone-master/test/vendor/require.js,12,0,2054,9,
34,-,UNNAMED,1,1,false,./src/init/resources/backbone-master/test/view.js,1,0,516,10,
